Year,Rank,Player,Position,Team,Level,ETA,Current Age,Height/Weight,Bats,Throws
2018,98,Ryan Mountcastle,OF/1B,Baltimore Orioles,MLB,,27,N/A,R,R
2018,99,Blake Rutherford,OF,-,-,,27,N/A,L,R
2018,100,Riley Pint,RHP,Cleveland Guardians,AAA,,27,N/A,R,R
2019,1,Vladimir Guerrero Jr.,3B,Toronto Blue Jays,MLB,,25,N/A,R,R
2019,2,Fernando Tatis Jr.,SS,San Diego Padres,MLB,,26,N/A,R,R
2019,3,Eloy Jiménez,OF,Tampa Bay Rays,AAA,,28,N/A,R,R
2019,4,Victor Robles,OF,Seattle Mariners,MLB,,27,N/A,R,R
2019,5,Royce Lewis,SS,Minnesota Twins,MLB,,25,N/A,R,R
2019,6,Nick Senzel,3B/2B/OF,Chicago White Sox,AAA,,29,N/A,R,R
2019,7,Forrest Whitley,RHP,Houston Astros,MLB,,27,N/A,R,R
2019,8,Kyle Tucker,OF,Chicago Cubs,MLB,,28,N/A,L,R
2019,9,Alex Kirilloff,OF/1B,Minnesota Twins,MLB,,27,N/A,L,L
2019,10,Brendan Rodgers,2B/SS,Colorado Rockies,MLB,,28,N/A,R,R
2019,11,Bo Bichette,SS,Toronto Blue Jays,MLB,,26,N/A,R,R
2019,12,Jesús Luzardo,LHP,Philadelphia Phillies,MLB,,27,N/A,L,L
2019,13,Wander Franco,SS,Tampa Bay Rays,MLB,,23,N/A,S,R
2019,14,Jo Adell,OF,Los Angeles Angels,MLB,,25,N/A,R,R
2019,15,MacKenzie Gore,LHP,Washington Nationals,MLB,,25,N/A,L,L
2019,16,Taylor Trammell,OF,Houston Astros,MLB,,27,N/A,L,L
2019,17,Casey Mize,RHP,Detroit Tigers,MLB,,27,N/A,R,R
2019,18,Michael Kopech,RHP,Los Angeles Dodgers,MLB,,28,N/A,R,R
2019,19,Mitch Keller,RHP,Pittsburgh Pirates,MLB,,28,N/A,R,R
2019,20,Keston Hiura,2B,Colorado Rockies,AAA,,28,N/A,R,R
2019,21,Dylan Cease,RHP,San Diego Padres,MLB,,29,N/A,R,R
2019,22,Joey Bart,C,Pittsburgh Pirates,MLB,,28,N/A,R,R
2019,23,Luis Urías,INF,Seattle Mariners,MLB,,27,N/A,R,R
2019,24,Michael Soroka,RHP,Washington Nationals,MLB,,27,N/A,R,R
2019,25,Carter Kieboom,SS/2B,Los Angeles Angels,AAA,,27,N/A,R,R
2019,26,Francisco Mejía,C/OF,-,-,,29,N/A,S,R
2019,27,Sixto Sánchez,RHP,Miami Marlins,AAA,,26,N/A,R,R
2019,28,Brent Honeywell,RHP,Los Angeles Dodgers,MLB,,29,N/A,R,R
2019,29,Brendan McKay,LHP,Tampa Bay Rays,AAA,,29,N/A,L,L
2019,30,Kyle Wright,RHP,Kansas City Royals,MLB,,29,N/A,R,R
2019,31,Hunter Greene,RHP,Cincinnati Reds,MLB,,25,N/A,R,R
2019,32,Ian Anderson,RHP,Atlanta Braves,MLB,,26,N/A,R,R
2019,33,Alex Reyes,RHP,Los Angeles Dodgers,MLB,,30,N/A,R,R
2019,34,Chris Paddack,RHP,Minnesota Twins,MLB,,29,N/A,R,R
2019,35,Alex Verdugo,OF,New York Yankees,MLB,,28,N/A,L,L
2019,36,Keibert Ruiz,C,Washington Nationals,MLB,,26,N/A,S,R
2019,37,Cristian Pache,OF,Arizona Diamondbacks,AAA,,26,N/A,R,R
2019,38,Austin Riley,3B,Atlanta Braves,MLB,,27,N/A,R,R
2019,39,Jesús Sánchez,OF,Miami Marlins,MLB,,27,N/A,L,R
2019,40,Luis Robert Jr.,OF,Chicago White Sox,MLB,,27,N/A,R,R
2019,41,Triston McKenzie,RHP,Cleveland Guardians,MLB,,27,N/A,R,R
2019,42,A.J. Puk,LHP,Arizona Diamondbacks,MLB,,29,N/A,L,L
2019,43,Justus Sheffield,LHP,Cincinnati Reds,AAA,,28,N/A,L,L
2019,44,Yordan Alvarez,OF,Houston Astros,MLB,,27,N/A,L,R
2019,45,Sean Murphy,C,Atlanta Braves,MLB,,30,N/A,R,R
2019,46,Ke'Bryan Hayes,3B,Pittsburgh Pirates,MLB,,28,N/A,R,R
2019,47,Nick Madrigal,2B,New York Mets,MLB,,27,N/A,R,R
2019,48,Luis Patiño,RHP,San Diego Padres,AAA,,25,N/A,R,R
2019,49,Adrian Morejon,LHP,San Diego Padres,MLB,,25,N/A,L,L
2019,50,Touki Toussaint,RHP,Chicago White Sox,AAA,,28,N/A,R,R
2019,51,Pete Alonso,1B,New York Mets,MLB,,30,N/A,R,R
2019,52,Matt Manning,RHP,Detroit Tigers,MLB,,27,N/A,R,R
2019,53,Jonathan India,2B/3B,Kansas City Royals,MLB,,28,N/A,R,R
2019,54,Brady Singer,RHP,Cincinnati Reds,MLB,,28,N/A,R,R
2019,55,Matthew Liberatore,LHP,St. Louis Cardinals,MLB,,25,N/A,L,L
2019,56,Jarred Kelenic,OF,Atlanta Braves,MLB,,25,N/A,L,L
2019,57,Estevan Florial,OF,Cleveland Guardians,AAA,,27,N/A,L,R
2019,58,Andrés Giménez,SS,Toronto Blue Jays,MLB,,26,N/A,L,R
2019,59,Alec Bohm,3B/1B,Philadelphia Phillies,MLB,,28,N/A,R,R
2019,60,Jazz Chisholm Jr.,SS/2B,New York Yankees,MLB,,27,N/A,L,R
2019,61,Nolan Gorman,2B/3B,St. Louis Cardinals,MLB,,24,N/A,L,R
2019,62,Josh James,RHP,-,-,,31,N/A,R,R
2019,63,Griffin Canning,RHP,New York Mets,MLB,,28,N/A,R,R
2019,64,Yusniel Díaz,OF,San Francisco Giants,AAA,,28,N/A,R,R
2019,65,Danny Jansen,C,Tampa Bay Rays,MLB,,29,N/A,R,R
2019,66,Jonathan Loáisiga,RHP,New York Yankees,MLB,,30,N/A,R,R
2019,67,Nolan Jones,OF/3B,Colorado Rockies,MLB,,26,N/A,L,R
2019,68,Brusdar Graterol,RHP,Los Angeles Dodgers,MLB,,26,N/A,R,R
2019,69,Dustin May,RHP,Los Angeles Dodgers,MLB,,27,N/A,R,R
2019,70,Gavin Lux,SS/2B,Cincinnati Reds,MLB,,27,N/A,L,R
2019,71,Ryan Mountcastle,OF/1B,Baltimore Orioles,MLB,,27,N/A,R,R
2019,72,Michel Baez,RHP,-,-,,29,N/A,R,R
2019,73,Jon Duplantier,RHP,Milwaukee Brewers,MLB,,30,N/A,L,R
2019,74,Logan Allen,LHP,Arizona Diamondbacks,AAA,,27,N/A,R,L
2019,75,Luis García Jr.,SS/2B,Washington Nationals,MLB,,24,N/A,L,R
2019,76,Nate Pearson,RHP,Chicago Cubs,MLB,,28,N/A,R,R
2019,77,Adonis Medina,RHP,Seattle Mariners,AAA,,28,N/A,R,R
2019,78,Franklin Pérez,RHP,Detroit Tigers,A,,27,N/A,R,R
2019,79,Michael Chavis,3B/1B,Chicago White Sox,AAA,,29,N/A,R,R
2019,80,Dane Dunning,RHP,Texas Rangers,MLB,,30,N/A,R,R
2019,81,Corbin Martin,RHP,Baltimore Orioles,AAA,,29,N/A,R,R
2019,82,Bryse Wilson,RHP,Chicago White Sox,MLB,,27,N/A,R,R
2019,83,Taylor Widener,RHP,Atlanta Braves,AAA,,30,N/A,L,R
2019,84,Ronaldo Hernández,C,Arizona Diamondbacks,AAA,,27,N/A,R,R
2019,85,Hans Crouse,RHP,Los Angeles Angels,MLB,,26,N/A,L,R
2019,86,Drew Waters,OF,Kansas City Royals,MLB,,26,N/A,S,R
2019,87,Travis Swaggerty,OF,New York Mets,AA,,27,N/A,L,L
2019,88,J.P. Martínez,OF,-,-,,28,N/A,L,L
2019,89,Cole Winn,RHP,Texas Rangers,MLB,,25,N/A,R,R
2019,90,DL Hall,LHP,Milwaukee Brewers,MLB,,26,N/A,L,L
2019,91,Justin Dunn,RHP,Chicago White Sox,AAA,,29,N/A,R,R
2019,92,Heliot Ramos,OF,San Francisco Giants,MLB,,25,N/A,R,R
2019,93,Ryan Weathers,LHP,Miami Marlins,MLB,,25,N/A,R,L
2019,94,Miguel Amaya,C,Chicago Cubs,MLB,,25,N/A,R,R
2019,95,Colton Welker,3B/1B,-,-,,27,N/A,R,R
2019,96,Oneil Cruz,SS,Pittsburgh Pirates,MLB,,26,N/A,L,R
2019,97,J.B. Bukauskas,RHP,Milwaukee Brewers,AAA,,28,N/A,R,R
2019,98,Eric Pardinho,RHP,Toronto Blue Jays,AAA,,24,N/A,R,R
2019,99,Victor Mesa,OF,Miami Marlins,AAA,,28,N/A,R,R
2019,100,Nico Hoerner,SS/2B/OF,Chicago Cubs,MLB,,27,N/A,R,R
2020,1,Wander Franco,SS,Tampa Bay Rays,MLB,,23,N/A,S,R
2020,2,Gavin Lux,SS/2B,Cincinnati Reds,MLB,,27,N/A,L,R
2020,3,Luis Robert Jr.,OF,Chicago White Sox,MLB,,27,N/A,R,R
2020,4,Adley Rutschman,C,Baltimore Orioles,MLB,,27,N/A,S,R
2020,5,MacKenzie Gore,LHP,Washington Nationals,MLB,,25,N/A,L,L
2020,6,Jo Adell,OF,Los Angeles Angels,MLB,,25,N/A,R,R
2020,7,Casey Mize,RHP,Detroit Tigers,MLB,,27,N/A,R,R
2020,8,Nate Pearson,RHP,Chicago Cubs,MLB,,28,N/A,R,R
2020,9,Royce Lewis,SS,Minnesota Twins,MLB,,25,N/A,R,R
2020,10,Bobby Witt Jr.,SS/3B,Kansas City Royals,MLB,,24,N/A,R,R
2020,11,Jarred Kelenic,OF,Atlanta Braves,MLB,,25,N/A,L,L
2020,12,Jesús Luzardo,LHP,Philadelphia Phillies,MLB,,27,N/A,L,L
2020,13,Cristian Pache,OF,Arizona Diamondbacks,AAA,,26,N/A,R,R
2020,14,Joey Bart,C,Pittsburgh Pirates,MLB,,28,N/A,R,R
2020,15,Brendan McKay,LHP,Tampa Bay Rays,AAA,,29,N/A,L,L
2020,16,Andrew Vaughn,1B/OF,Chicago White Sox,MLB,,26,N/A,R,R
2020,17,Dylan Carlson,OF,Baltimore Orioles,MLB,,26,N/A,S,L
2020,18,Julio Rodríguez,OF,Seattle Mariners,MLB,,24,N/A,R,R
2020,19,Forrest Whitley,RHP,Houston Astros,MLB,,27,N/A,R,R
2020,20,Michael Kopech,RHP,Los Angeles Dodgers,MLB,,28,N/A,R,R
2020,21,Carter Kieboom,SS/2B,Los Angeles Angels,AAA,,27,N/A,R,R
2020,22,Sixto Sánchez,RHP,Miami Marlins,AAA,,26,N/A,R,R
2020,23,Dustin May,RHP,Los Angeles Dodgers,MLB,,27,N/A,R,R
2020,24,Matt Manning,RHP,Detroit Tigers,MLB,,27,N/A,R,R
2020,25,CJ Abrams,SS,Washington Nationals,MLB,,24,N/A,L,R
2020,26,Drew Waters,OF,Kansas City Royals,MLB,,26,N/A,S,R
2020,27,Luis Patiño,RHP,San Diego Padres,AAA,,25,N/A,R,R
2020,28,JJ Bleday,OF,Athletics,MLB,,27,N/A,L,L
2020,29,Brendan Rodgers,2B/SS,Colorado Rockies,MLB,,28,N/A,R,R
2020,30,Alec Bohm,3B/1B,Philadelphia Phillies,MLB,,28,N/A,R,R
2020,31,Riley Greene,OF,Detroit Tigers,MLB,,24,N/A,L,L
2020,32,Alex Kirilloff,OF/1B,Minnesota Twins,MLB,,27,N/A,L,L
2020,33,Sean Murphy,C,Atlanta Braves,MLB,,30,N/A,R,R
2020,34,Spencer Howard,RHP,San Francisco Giants,AAA,,28,N/A,R,R
2020,35,Marco Luciano,SS,San Francisco Giants,MLB,,23,N/A,R,R
2020,36,Grayson Rodriguez,RHP,Baltimore Orioles,MLB,,25,N/A,L,R
2020,37,Ian Anderson,RHP,Atlanta Braves,MLB,,26,N/A,R,R
2020,38,Logan Gilbert,RHP,Seattle Mariners,MLB,,27,N/A,R,R
2020,39,Mitch Keller,RHP,Pittsburgh Pirates,MLB,,28,N/A,R,R
2020,40,Nick Madrigal,2B,New York Mets,MLB,,27,N/A,R,R
2020,41,Ke'Bryan Hayes,3B,Pittsburgh Pirates,MLB,,28,N/A,R,R
2020,42,Nolan Jones,OF/3B,Colorado Rockies,MLB,,26,N/A,L,R
2020,43,Kristian Robinson,OF,Arizona Diamondbacks,AA,,24,N/A,R,R
2020,44,Jeter Downs,SS,New York Yankees,AAA,,26,N/A,R,R
2020,45,Vidal Bruján,OF/2B/SS,Chicago Cubs,MLB,,26,N/A,S,R
2020,46,Tarik Skubal,LHP,Detroit Tigers,MLB,,28,N/A,R,L
2020,47,Nolan Gorman,2B/3B,St. Louis Cardinals,MLB,,24,N/A,L,R
2020,48,Nick Lodolo,LHP,Cincinnati Reds,MLB,,27,N/A,L,L
2020,49,Alek Thomas,OF,Arizona Diamondbacks,MLB,,24,N/A,L,L
2020,50,Luis Campusano,C,San Diego Padres,MLB,,26,N/A,R,R
2020,51,Nico Hoerner,SS/2B/OF,Chicago Cubs,MLB,,27,N/A,R,R
2020,52,Kyle Wright,RHP,Kansas City Royals,MLB,,29,N/A,R,R
2020,53,Hunter Greene,RHP,Cincinnati Reds,MLB,,25,N/A,R,R
2020,54,Jasson Domínguez,OF,New York Yankees,MLB,,22,N/A,S,R
2020,55,Josh Jung,3B,Texas Rangers,MLB,,26,N/A,R,R
2020,56,Evan White,1B,Los Angeles Angels,AAA,,28,N/A,R,L
2020,57,Taylor Trammell,OF,Houston Astros,MLB,,27,N/A,L,L
2020,58,Matthew Liberatore,LHP,St. Louis Cardinals,MLB,,25,N/A,L,L
2020,59,Brady Singer,RHP,Cincinnati Reds,MLB,,28,N/A,R,R
2020,60,A.J. Puk,LHP,Arizona Diamondbacks,MLB,,29,N/A,L,L
2020,61,Daniel Lynch IV,LHP,Kansas City Royals,MLB,,28,N/A,L,L
2020,62,Ronny Mauricio,2B/SS/OF,New York Mets,MLB,,23,N/A,S,R
2020,63,Francisco Alvarez,C,New York Mets,MLB,,23,N/A,R,R
2020,64,Oneil Cruz,SS,Pittsburgh Pirates,MLB,,26,N/A,L,R
2020,65,Heliot Ramos,OF,San Francisco Giants,MLB,,25,N/A,R,R
2020,66,Jazz Chisholm Jr.,SS/2B,New York Yankees,MLB,,27,N/A,L,R
2020,67,Josiah Gray,RHP,Washington Nationals,MLB,,27,N/A,R,R
2020,68,Brailyn Marquez,LHP,Houston Astros,AAA,,26,N/A,L,L
2020,69,DL Hall,LHP,Milwaukee Brewers,MLB,,26,N/A,L,L
2020,70,Shea Langeliers,C,Athletics,MLB,,27,N/A,R,R
2020,71,Hunter Bishop,OF,San Francisco Giants,AAA,,26,N/A,L,R
2020,72,Xavier Edwards,2B/OF,Miami Marlins,MLB,,25,N/A,S,R
2020,73,Keibert Ruiz,C,Washington Nationals,MLB,,26,N/A,S,R
2020,74,Sam Huff,C/1B,San Francisco Giants,MLB,,27,N/A,R,R
2020,75,Jordan Groshans,3B/SS,Kansas City Royals,AAA,,25,N/A,R,R
2020,76,Daulton Varsho,C,Toronto Blue Jays,MLB,,28,N/A,L,R
2020,77,Triston Casas,1B,Boston Red Sox,MLB,,25,N/A,L,R
2020,78,Brennen Davis,OF,New York Yankees,AAA,,25,N/A,R,R
2020,79,Brandon Marsh,OF,Philadelphia Phillies,MLB,,27,N/A,L,R
2020,80,Jesús Sánchez,OF,Miami Marlins,MLB,,27,N/A,L,R
2020,81,Trevor Larnach,OF,Minnesota Twins,MLB,,27,N/A,L,R
2020,82,Geraldo Perdomo,SS,Arizona Diamondbacks,MLB,,25,N/A,S,R
2020,83,Brusdar Graterol,RHP,Los Angeles Dodgers,MLB,,26,N/A,R,R
2020,84,Edward Cabrera,RHP,Miami Marlins,MLB,,26,N/A,R,R
2020,85,Jordan Balazovic,RHP,Detroit Tigers,AAA,,26,N/A,R,R
2020,86,Bryson Stott,SS,Philadelphia Phillies,MLB,,27,N/A,L,R
2020,87,Clarke Schmidt,RHP,New York Yankees,MLB,,28,N/A,R,R
2020,88,Corbin Carroll,OF,Arizona Diamondbacks,MLB,,24,N/A,L,L
2020,89,Shane Baz,RHP,Tampa Bay Rays,MLB,,25,N/A,R,R
2020,90,Brent Honeywell,RHP,Los Angeles Dodgers,MLB,,29,N/A,R,R
2020,91,Deivi García,RHP,Milwaukee Brewers,AAA,,25,N/A,R,R
2020,92,Brett Baty,3B/OF,New York Mets,MLB,,25,N/A,L,R
2020,93,Ryan Mountcastle,OF/1B,Baltimore Orioles,MLB,,27,N/A,R,R
2020,94,Miguel Amaya,C,Chicago Cubs,MLB,,25,N/A,R,R
2020,95,Tyler Freeman,SS/2B,Cleveland Guardians,MLB,,25,N/A,R,R
2020,96,Luis Garcia,SS,-,-,,24,N/A,S,R
2020,97,Simeon Woods Richardson,RHP,Minnesota Twins,MLB,,24,N/A,R,R
2020,98,Seth Corry,LHP,San Francisco Giants,AA,,26,N/A,L,L
2020,99,George Kirby,RHP,Seattle Mariners,MLB,,27,N/A,R,R
2021,1,Wander Franco,SS,Tampa Bay Rays,MLB,,23,N/A,S,R
2021,2,Adley Rutschman,C,Baltimore Orioles,MLB,,27,N/A,S,R
2021,3,Spencer Torkelson,1B/3B,Detroit Tigers,MLB,,25,N/A,R,R
2021,4,Jarred Kelenic,OF,Atlanta Braves,MLB,,25,N/A,L,L
2021,5,Julio Rodríguez,OF,Seattle Mariners,MLB,,24,N/A,R,R
2021,6,MacKenzie Gore,LHP,Washington Nationals,MLB,,25,N/A,L,L
2021,7,Bobby Witt Jr.,SS/3B,Kansas City Royals,MLB,,24,N/A,R,R
2021,8,CJ Abrams,SS,Washington Nationals,MLB,,24,N/A,L,R
2021,9,Ke'Bryan Hayes,3B,Pittsburgh Pirates,MLB,,28,N/A,R,R
2021,10,Nate Pearson,RHP,Chicago Cubs,MLB,,28,N/A,R,R
2021,11,Casey Mize,RHP,Detroit Tigers,MLB,,27,N/A,R,R
2021,12,Cristian Pache,OF,Arizona Diamondbacks,AAA,,26,N/A,R,R
2021,13,Dylan Carlson,OF,Baltimore Orioles,MLB,,26,N/A,S,L
2021,14,Andrew Vaughn,1B/OF,Chicago White Sox,MLB,,26,N/A,R,R
2021,15,Sixto Sánchez,RHP,Miami Marlins,AAA,,26,N/A,R,R
2021,16,Marco Luciano,SS,San Francisco Giants,MLB,,23,N/A,R,R
2021,17,Royce Lewis,SS,Minnesota Twins,MLB,,25,N/A,R,R
2021,18,Ian Anderson,RHP,Atlanta Braves,MLB,,26,N/A,R,R
2021,19,Luis Patiño,RHP,San Diego Padres,AAA,,25,N/A,R,R
2021,20,JJ Bleday,OF,Athletics,MLB,,27,N/A,L,L
2021,21,Riley Greene,OF,Detroit Tigers,MLB,,24,N/A,L,L
2021,22,Austin Martin,SS/OF/2B,Minnesota Twins,MLB,,25,N/A,R,R
2021,23,Joey Bart,C,Pittsburgh Pirates,MLB,,28,N/A,R,R
2021,24,Tarik Skubal,LHP,Detroit Tigers,MLB,,28,N/A,R,L
2021,25,Matt Manning,RHP,Detroit Tigers,MLB,,27,N/A,R,R
2021,26,Alex Kirilloff,OF/1B,Minnesota Twins,MLB,,27,N/A,L,L
2021,27,Grayson Rodriguez,RHP,Baltimore Orioles,MLB,,25,N/A,L,R
2021,28,Max Meyer,RHP,Miami Marlins,MLB,,25,N/A,L,R
2021,29,Daniel Lynch IV,LHP,Kansas City Royals,MLB,,28,N/A,L,L
2021,30,Asa Lacy,LHP,Kansas City Royals,AA,,25,N/A,L,L
2021,31,Emerson Hancock,RHP,Seattle Mariners,MLB,,25,N/A,R,R
2021,32,Jasson Domínguez,OF,New York Yankees,MLB,,22,N/A,S,R
2021,33,Logan Gilbert,RHP,Seattle Mariners,MLB,,27,N/A,R,R
2021,34,Randy Arozarena,OF,Seattle Mariners,MLB,,29,N/A,R,R
2021,35,Drew Waters,OF,Kansas City Royals,MLB,,26,N/A,S,R
2021,36,Nolan Jones,OF/3B,Colorado Rockies,MLB,,26,N/A,L,R
2021,37,Matthew Liberatore,LHP,St. Louis Cardinals,MLB,,25,N/A,L,L
2021,38,Nolan Gorman,2B/3B,St. Louis Cardinals,MLB,,24,N/A,L,R
2021,39,Michael Kopech,RHP,Los Angeles Dodgers,MLB,,28,N/A,R,R
2021,40,Nick Madrigal,2B,New York Mets,MLB,,27,N/A,R,R
2021,41,Forrest Whitley,RHP,Houston Astros,MLB,,27,N/A,R,R
2021,42,Spencer Howard,RHP,San Francisco Giants,AAA,,28,N/A,R,R
2021,43,Nick Gonzales,2B/SS,Pittsburgh Pirates,MLB,,25,N/A,R,R
2021,44,Triston Casas,1B,Boston Red Sox,MLB,,25,N/A,L,R
2021,45,Luis Campusano,C,San Diego Padres,MLB,,26,N/A,R,R
2021,46,Jordan Groshans,3B/SS,Kansas City Royals,AAA,,25,N/A,R,R
2021,47,Corbin Carroll,OF,Arizona Diamondbacks,MLB,,24,N/A,L,L
2021,48,Francisco Alvarez,C,New York Mets,MLB,,23,N/A,R,R
2021,49,Jeter Downs,SS,New York Yankees,AAA,,26,N/A,R,R
2021,50,Vidal Bruján,OF/2B/SS,Chicago Cubs,MLB,,26,N/A,S,R
2021,51,Quinn Priester,RHP,Boston Red Sox,MLB,,24,N/A,R,R
2021,52,Brandon Marsh,OF,Philadelphia Phillies,MLB,,27,N/A,L,R
2021,53,Zac Veen,OF,Colorado Rockies,MLB,,23,N/A,L,R
2021,54,Kristian Robinson,OF,Arizona Diamondbacks,AA,,24,N/A,R,R
2021,55,Garrett Crochet,LHP,Boston Red Sox,MLB,,25,N/A,L,L
2021,56,Keibert Ruiz,C,Washington Nationals,MLB,,26,N/A,S,R
2021,57,Josiah Gray,RHP,Washington Nationals,MLB,,27,N/A,R,R
2021,58,Nick Lodolo,LHP,Cincinnati Reds,MLB,,27,N/A,L,L
2021,59,Brailyn Marquez,LHP,Houston Astros,AAA,,26,N/A,L,L
2021,60,Brennen Davis,OF,New York Yankees,AAA,,25,N/A,R,R
2021,61,Robert Hassell III,OF,Washington Nationals,MLB,,23,N/A,L,L
2021,62,Josh Jung,3B,Texas Rangers,MLB,,26,N/A,R,R
2021,63,Oneil Cruz,SS,Pittsburgh Pirates,MLB,,26,N/A,L,R
2021,64,Garrett Mitchell,OF,Milwaukee Brewers,MLB,,26,N/A,L,R
2021,65,Jazz Chisholm Jr.,SS/2B,New York Yankees,MLB,,27,N/A,L,R
2021,66,Ronny Mauricio,2B/SS/OF,New York Mets,MLB,,23,N/A,S,R
2021,67,Edward Cabrera,RHP,Miami Marlins,MLB,,26,N/A,R,R
2021,68,Heston Kjerstad,OF,Baltimore Orioles,MLB,,25,N/A,L,R
2021,69,DL Hall,LHP,Milwaukee Brewers,MLB,,26,N/A,L,L
2021,70,Hunter Greene,RHP,Cincinnati Reds,MLB,,25,N/A,R,R
2021,71,Brendan McKay,LHP,Tampa Bay Rays,AAA,,29,N/A,L,L
2021,72,Shea Langeliers,C,Athletics,MLB,,27,N/A,R,R
2021,73,Reid Detmers,LHP,Los Angeles Angels,MLB,,25,N/A,L,L
2021,74,Matt Allan,RHP,New York Mets,A+,,23,N/A,R,R
2021,75,Mick Abel,RHP,Philadelphia Phillies,MLB,,23,N/A,R,R
2021,76,Ryan Mountcastle,OF/1B,Baltimore Orioles,MLB,,27,N/A,R,R
2021,77,Sam Huff,C/1B,San Francisco Giants,MLB,,27,N/A,R,R
2021,78,Geraldo Perdomo,SS,Arizona Diamondbacks,MLB,,25,N/A,S,R
2021,79,Trevor Larnach,OF,Minnesota Twins,MLB,,27,N/A,L,R
2021,80,Alek Thomas,OF,Arizona Diamondbacks,MLB,,24,N/A,L,L
2021,81,Heliot Ramos,OF,San Francisco Giants,MLB,,25,N/A,R,R
2021,82,Hunter Bishop,OF,San Francisco Giants,AAA,,26,N/A,L,R
2021,83,Shane McClanahan,LHP,Tampa Bay Rays,MLB,,27,N/A,L,L
2021,84,Xavier Edwards,2B/OF,Miami Marlins,MLB,,25,N/A,S,R
2021,85,Austin Hendrick,OF,Cincinnati Reds,AA,,23,N/A,L,L
2021,86,Simeon Woods Richardson,RHP,Minnesota Twins,MLB,,24,N/A,R,R
2021,87,Clarke Schmidt,RHP,New York Yankees,MLB,,28,N/A,R,R
2021,88,Miguel Amaya,C,Chicago Cubs,MLB,,25,N/A,R,R
2021,89,Shane Baz,RHP,Tampa Bay Rays,MLB,,25,N/A,R,R
2021,90,Dane Dunning,RHP,Texas Rangers,MLB,,30,N/A,R,R
2021,91,George Kirby,RHP,Seattle Mariners,MLB,,27,N/A,R,R
2021,92,Bobby Dalbec,3B/1B,Chicago White Sox,AAA,,29,N/A,R,R
2021,93,Brett Baty,3B/OF,New York Mets,MLB,,25,N/A,L,R
2021,94,Tyler Stephenson,C,Cincinnati Reds,MLB,,28,N/A,R,R
2021,95,Brice Turang,SS/2B/OF,Milwaukee Brewers,MLB,,25,N/A,L,R
2021,96,Jordan Balazovic,RHP,Detroit Tigers,AAA,,26,N/A,R,R
2021,97,Tyler Freeman,SS/2B,Cleveland Guardians,MLB,,25,N/A,R,R
2021,98,Cade Cavalli,RHP,Washington Nationals,MLB,,26,N/A,R,R
2021,99,Taylor Trammell,OF,Houston Astros,MLB,,27,N/A,L,L
2022,1,Bobby Witt Jr.,SS/3B,Kansas City Royals,MLB,,24,N/A,R,R
2022,2,Adley Rutschman,C,Baltimore Orioles,MLB,,27,N/A,S,R
2022,3,Julio Rodríguez,OF,Seattle Mariners,MLB,,24,N/A,R,R
2022,4,Spencer Torkelson,1B/3B,Detroit Tigers,MLB,,25,N/A,R,R
2022,5,Riley Greene,OF,Detroit Tigers,MLB,,24,N/A,L,L
2022,6,Grayson Rodriguez,RHP,Baltimore Orioles,MLB,,25,N/A,L,R
2022,7,Gabriel Moreno,C,Arizona Diamondbacks,MLB,,24,N/A,R,R
2022,8,Anthony Volpe,SS,New York Yankees,MLB,,23,N/A,R,R
2022,9,CJ Abrams,SS,Washington Nationals,MLB,,24,N/A,L,R
2022,10,Francisco Alvarez,C,New York Mets,MLB,,23,N/A,R,R
2022,11,Noelvi Marte,3B/SS,Cincinnati Reds,MLB,,23,N/A,R,R
2022,12,Shane Baz,RHP,Tampa Bay Rays,MLB,,25,N/A,R,R
2022,13,Marco Luciano,SS,San Francisco Giants,MLB,,23,N/A,R,R
2022,14,Marcelo Mayer,SS,Boston Red Sox,AAA,,22,N/A,L,R
2022,15,Brennen Davis,OF,New York Yankees,AAA,,25,N/A,R,R
2022,16,Triston Casas,1B,Boston Red Sox,MLB,,25,N/A,L,R
2022,17,Jack Leiter,RHP,Texas Rangers,MLB,,24,N/A,R,R
2022,18,Alek Thomas,OF,Arizona Diamondbacks,MLB,,24,N/A,L,L
2022,19,Corbin Carroll,OF,Arizona Diamondbacks,MLB,,24,N/A,L,L
2022,20,Nick Gonzales,2B/SS,Pittsburgh Pirates,MLB,,25,N/A,R,R
2022,21,Reid Detmers,LHP,Los Angeles Angels,MLB,,25,N/A,L,L
2022,22,Hunter Greene,RHP,Cincinnati Reds,MLB,,25,N/A,R,R
2022,23,Jordan Lawlar,SS,Arizona Diamondbacks,MLB,,22,N/A,R,R
2022,24,Henry Davis,C,Pittsburgh Pirates,MLB,,25,N/A,R,R
2022,25,Kahlil Watson,SS/2B,Cleveland Guardians,AA,,21,N/A,L,R
2022,26,Oneil Cruz,SS,Pittsburgh Pirates,MLB,,26,N/A,L,R
2022,27,Brett Baty,3B/OF,New York Mets,MLB,,25,N/A,L,R
2022,28,Diego Cartaya,C,Minnesota Twins,MLB,,23,N/A,R,R
2022,29,Josh Jung,3B,Texas Rangers,MLB,,26,N/A,R,R
2022,30,Jordan Walker,OF/3B,St. Louis Cardinals,MLB,,22,N/A,R,R
2022,31,Joey Bart,C,Pittsburgh Pirates,MLB,,28,N/A,R,R
2022,32,George Kirby,RHP,Seattle Mariners,MLB,,27,N/A,R,R
2022,33,Nolan Gorman,2B/3B,St. Louis Cardinals,MLB,,24,N/A,L,R
